Date,Parashah
01-Oct-2011,Ha'azinu
,
22-Oct-2011,Bereishit
,
29-Oct-2011,Noach
,
05-Nov-2011,"Lech Lecha"
,
12-Nov-2011,Vayeira
,
19-Nov-2011,"Chayei Sarah"
,
26-Nov-2011,Toldot
,
03-Dec-2011,Vayeitzei
,
10-Dec-2011,Vayishlach
,
17-Dec-2011,Vayeishev
,
24-Dec-2011,Mikeitz
,
31-Dec-2011,Vayigash
,
07-Jan-2012,Vayechi
,
14-Jan-2012,Shemot
,
21-Jan-2012,Va'eira
,
28-Jan-2012,Bo
,
04-Feb-2012,Beshalach
,
11-Feb-2012,Yitro
,
18-Feb-2012,Mishpatim
,
25-Feb-2012,Terumah
,
03-Mar-2012,Tetzaveh
,
10-Mar-2012,"Ki Tisa"
,
17-Mar-2012,Vayakhel-Pekudei
,
24-Mar-2012,Vayikra
,
31-Mar-2012,Tzav
,
21-Apr-2012,Shemini
,
28-Apr-2012,Tazria-Metzora
,
05-May-2012,Acharei-Kedoshim
,
12-May-2012,Emor
,
19-May-2012,Behar-Bechukotai
,
26-May-2012,Bamidbar
,
02-Jun-2012,Naso
,
09-Jun-2012,Beha'alotecha
,
16-Jun-2012,Shelach
,
23-Jun-2012,Korach
,
30-Jun-2012,Chukat
,
07-Jul-2012,Balak
,
14-Jul-2012,Pinchas
,
21-Jul-2012,Matot-Massei
,
28-Jul-2012,Devarim
,
04-Aug-2012,Va'etchanan
,
11-Aug-2012,Eikev
,
18-Aug-2012,Re'eh
,
25-Aug-2012,Shoftim
,
01-Sep-2012,"Ki Teitzei"
,
08-Sep-2012,"Ki Tavo"
,
15-Sep-2012,Nitzavim
,
22-Sep-2012,Vayelech
,
29-Sep-2012,Ha'azinu
,
13-Oct-2012,Bereishit
,
20-Oct-2012,Noach
,
27-Oct-2012,"Lech Lecha"
,
03-Nov-2012,Vayeira
,
10-Nov-2012,"Chayei Sarah"
,
17-Nov-2012,Toldot
,
24-Nov-2012,Vayeitzei
,
01-Dec-2012,Vayishlach
,
08-Dec-2012,Vayeishev
,
15-Dec-2012,Mikeitz
,
22-Dec-2012,Vayigash
,
29-Dec-2012,Vayechi
,
05-Jan-2013,Shemot
,
12-Jan-2013,Va'eira
,
19-Jan-2013,Bo
,
26-Jan-2013,Beshalach
,
02-Feb-2013,Yitro
,
09-Feb-2013,Mishpatim
,
16-Feb-2013,Terumah
,
23-Feb-2013,Tetzaveh
,
02-Mar-2013,"Ki Tisa"
,
09-Mar-2013,Vayakhel-Pekudei
,
16-Mar-2013,Vayikra
,
23-Mar-2013,Tzav
,
06-Apr-2013,Shemini
,
13-Apr-2013,Tazria-Metzora
,
20-Apr-2013,Acharei-Kedoshim
,
27-Apr-2013,Emor
,
04-May-2013,Behar-Bechukotai
,
11-May-2013,Bamidbar
,
18-May-2013,Naso
,
25-May-2013,Beha'alotecha
,
01-Jun-2013,Shelach
,
08-Jun-2013,Korach
,
15-Jun-2013,Chukat
,
22-Jun-2013,Balak
,
29-Jun-2013,Pinchas
,
06-Jul-2013,Matot-Massei
,
13-Jul-2013,Devarim
,
20-Jul-2013,Va'etchanan
,
27-Jul-2013,Eikev
,
03-Aug-2013,Re'eh
,
10-Aug-2013,Shoftim
,
17-Aug-2013,"Ki Teitzei"
,
24-Aug-2013,"Ki Tavo"
,
31-Aug-2013,Nitzavim-Vayelech
,
07-Sep-2013,Ha'azinu
,
28-Sep-2013,Bereishit
,
05-Oct-2013,Noach
,
12-Oct-2013,"Lech Lecha"
,
19-Oct-2013,Vayeira
,
26-Oct-2013,"Chayei Sarah"
,
02-Nov-2013,Toldot
,
09-Nov-2013,Vayeitzei
,
16-Nov-2013,Vayishlach
,
23-Nov-2013,Vayeishev
,
30-Nov-2013,Mikeitz
,
07-Dec-2013,Vayigash
,
14-Dec-2013,Vayechi
,
21-Dec-2013,Shemot
,
28-Dec-2013,Va'eira
,
04-Jan-2014,Bo
,
11-Jan-2014,Beshalach
,
18-Jan-2014,Yitro
,
25-Jan-2014,Mishpatim
,
01-Feb-2014,Terumah
,
08-Feb-2014,Tetzaveh
,
15-Feb-2014,"Ki Tisa"
,
22-Feb-2014,Vayakhel
,
01-Mar-2014,Pekudei
,
08-Mar-2014,Vayikra
,
15-Mar-2014,Tzav
,
22-Mar-2014,Shemini
,
29-Mar-2014,Tazria
,
05-Apr-2014,Metzora
,
12-Apr-2014,Acharei
,
26-Apr-2014,Kedoshim
,
03-May-2014,Emor
,
10-May-2014,Behar
,
17-May-2014,Bechukotai
,
24-May-2014,Bamidbar
,
31-May-2014,Naso
,
07-Jun-2014,Beha'alotecha
,
14-Jun-2014,Shelach
,
21-Jun-2014,Korach
,
28-Jun-2014,Chukat
,
05-Jul-2014,Balak
,
12-Jul-2014,Pinchas
,
19-Jul-2014,Matot
,
26-Jul-2014,Massei
,
02-Aug-2014,Devarim
,
09-Aug-2014,Va'etchanan
,
16-Aug-2014,Eikev
,
23-Aug-2014,Re'eh
,
30-Aug-2014,Shoftim
,
06-Sep-2014,"Ki Teitzei"
,
13-Sep-2014,"Ki Tavo"
,
20-Sep-2014,Nitzavim-Vayelech
,
27-Sep-2014,Ha'azinu
,
18-Oct-2014,Bereishit
,
25-Oct-2014,Noach
,
01-Nov-2014,"Lech Lecha"
,
08-Nov-2014,Vayeira
,
15-Nov-2014,"Chayei Sarah"
,
22-Nov-2014,Toldot
,
29-Nov-2014,Vayeitzei
,
06-Dec-2014,Vayishlach
,
13-Dec-2014,Vayeishev
,
20-Dec-2014,Mikeitz
,
27-Dec-2014,Vayigash
,
03-Jan-2015,Vayechi
,
10-Jan-2015,Shemot
,
17-Jan-2015,Va'eira
,
24-Jan-2015,Bo
,
31-Jan-2015,Beshalach
,
07-Feb-2015,Yitro
,
14-Feb-2015,Mishpatim
,
21-Feb-2015,Terumah
,
28-Feb-2015,Tetzaveh
,
07-Mar-2015,"Ki Tisa"
,
14-Mar-2015,Vayakhel-Pekudei
,
21-Mar-2015,Vayikra
,
28-Mar-2015,Tzav
,
18-Apr-2015,Shemini
,
25-Apr-2015,Tazria-Metzora
,
02-May-2015,Acharei-Kedoshim
,
09-May-2015,Emor
,
16-May-2015,Behar-Bechukotai
,
23-May-2015,Bamidbar
,
30-May-2015,Naso
,
06-Jun-2015,Beha'alotecha
,
13-Jun-2015,Shelach
,
20-Jun-2015,Korach
,
27-Jun-2015,Chukat
,
04-Jul-2015,Balak
,
11-Jul-2015,Pinchas
,
18-Jul-2015,Matot-Massei
,
25-Jul-2015,Devarim
,
01-Aug-2015,Va'etchanan
,
08-Aug-2015,Eikev
,
15-Aug-2015,Re'eh
,
22-Aug-2015,Shoftim
,
29-Aug-2015,"Ki Teitzei"
,
05-Sep-2015,"Ki Tavo"
,
12-Sep-2015,Nitzavim
,
19-Sep-2015,Vayelech
,
26-Sep-2015,Ha'azinu
,
10-Oct-2015,Bereishit
,
17-Oct-2015,Noach
,
24-Oct-2015,"Lech Lecha"
,
31-Oct-2015,Vayeira
,
07-Nov-2015,"Chayei Sarah"
,
14-Nov-2015,Toldot
,
21-Nov-2015,Vayeitzei
,
28-Nov-2015,Vayishlach
,
05-Dec-2015,Vayeishev
,
12-Dec-2015,Mikeitz
,
19-Dec-2015,Vayigash
,
26-Dec-2015,Vayechi
,
02-Jan-2016,Shemot
,
09-Jan-2016,Va'eira
,
16-Jan-2016,Bo
,
23-Jan-2016,Beshalach
,
30-Jan-2016,Yitro
,
06-Feb-2016,Mishpatim
,
13-Feb-2016,Terumah
,
20-Feb-2016,Tetzaveh
,
27-Feb-2016,"Ki Tisa"
,
05-Mar-2016,Vayakhel
,
12-Mar-2016,Pekudei
,
19-Mar-2016,Vayikra
,
26-Mar-2016,Tzav
,
02-Apr-2016,Shemini
,
09-Apr-2016,Tazria
,
16-Apr-2016,Metzora
,
07-May-2016,Acharei
,
14-May-2016,Kedoshim
,
21-May-2016,Emor
,
28-May-2016,Behar
,
04-Jun-2016,Bechukotai
,
11-Jun-2016,Bamidbar
,
18-Jun-2016,Naso
,
25-Jun-2016,Beha'alotecha
,
02-Jul-2016,Shelach
,
09-Jul-2016,Korach
,
16-Jul-2016,Chukat
,
23-Jul-2016,Balak
,
30-Jul-2016,Pinchas
,
06-Aug-2016,Matot-Massei
,
13-Aug-2016,Devarim
,
20-Aug-2016,Va'etchanan
,
27-Aug-2016,Eikev
,
03-Sep-2016,Re'eh
,
10-Sep-2016,Shoftim
,
17-Sep-2016,"Ki Teitzei"
,
24-Sep-2016,"Ki Tavo"
,
01-Oct-2016,Nitzavim
,
08-Oct-2016,Vayelech
,
15-Oct-2016,Ha'azinu
,
29-Oct-2016,Bereishit
,
05-Nov-2016,Noach
,
12-Nov-2016,"Lech Lecha"
,
19-Nov-2016,Vayeira
,
26-Nov-2016,"Chayei Sarah"
,
03-Dec-2016,Toldot
,
10-Dec-2016,Vayeitzei
,
17-Dec-2016,Vayishlach
,
24-Dec-2016,Vayeishev
,
31-Dec-2016,Mikeitz
,
07-Jan-2017,Vayigash
,
14-Jan-2017,Vayechi
,
21-Jan-2017,Shemot
,
28-Jan-2017,Va'eira
,
04-Feb-2017,Bo
,
11-Feb-2017,Beshalach
,
18-Feb-2017,Yitro
,
25-Feb-2017,Mishpatim
,
04-Mar-2017,Terumah
,
11-Mar-2017,Tetzaveh
,
18-Mar-2017,"Ki Tisa"
,
25-Mar-2017,Vayakhel-Pekudei
,
01-Apr-2017,Vayikra
,
08-Apr-2017,Tzav
,
22-Apr-2017,Shemini
,
29-Apr-2017,Tazria-Metzora
,
06-May-2017,Acharei-Kedoshim
,
13-May-2017,Emor
,
20-May-2017,Behar-Bechukotai
,
27-May-2017,Bamidbar
,
03-Jun-2017,Naso
,
10-Jun-2017,Beha'alotecha
,
17-Jun-2017,Shelach
,
24-Jun-2017,Korach
,
01-Jul-2017,Chukat
,
08-Jul-2017,Balak
,
15-Jul-2017,Pinchas
,
22-Jul-2017,Matot-Massei
,
29-Jul-2017,Devarim
,
05-Aug-2017,Va'etchanan
,
12-Aug-2017,Eikev
,
19-Aug-2017,Re'eh
,
26-Aug-2017,Shoftim
,
02-Sep-2017,"Ki Teitzei"
,
09-Sep-2017,"Ki Tavo"
,
16-Sep-2017,Nitzavim-Vayelech
,
23-Sep-2017,Ha'azinu
,
14-Oct-2017,Bereishit
,
21-Oct-2017,Noach
,
28-Oct-2017,"Lech Lecha"
,
04-Nov-2017,Vayeira
,
11-Nov-2017,"Chayei Sarah"
,
18-Nov-2017,Toldot
,
25-Nov-2017,Vayeitzei
,
02-Dec-2017,Vayishlach
,
09-Dec-2017,Vayeishev
,
16-Dec-2017,Mikeitz
,
23-Dec-2017,Vayigash
,
30-Dec-2017,Vayechi
,
06-Jan-2018,Shemot
,
13-Jan-2018,Va'eira
,
20-Jan-2018,Bo
,
27-Jan-2018,Beshalach
,
03-Feb-2018,Yitro
,
10-Feb-2018,Mishpatim
,
17-Feb-2018,Terumah
,
24-Feb-2018,Tetzaveh
,
03-Mar-2018,"Ki Tisa"
,
10-Mar-2018,Vayakhel-Pekudei
,
17-Mar-2018,Vayikra
,
24-Mar-2018,Tzav
,
14-Apr-2018,Shemini
,
21-Apr-2018,Tazria-Metzora
,
28-Apr-2018,Acharei-Kedoshim
,
05-May-2018,Emor
,
12-May-2018,Behar-Bechukotai
,
19-May-2018,Bamidbar
,
26-May-2018,Naso
,
02-Jun-2018,Beha'alotecha
,
09-Jun-2018,Shelach
,
16-Jun-2018,Korach
,
23-Jun-2018,Chukat
,
30-Jun-2018,Balak
,
07-Jul-2018,Pinchas
,
14-Jul-2018,Matot-Massei
,
21-Jul-2018,Devarim
,
28-Jul-2018,Va'etchanan
,
04-Aug-2018,Eikev
,
11-Aug-2018,Re'eh
,
18-Aug-2018,Shoftim
,
25-Aug-2018,"Ki Teitzei"
,
01-Sep-2018,"Ki Tavo"
,
08-Sep-2018,Nitzavim
,
15-Sep-2018,Vayelech
,
22-Sep-2018,Ha'azinu
,
06-Oct-2018,Bereishit
,
13-Oct-2018,Noach
,
20-Oct-2018,"Lech Lecha"
,
27-Oct-2018,Vayeira
,
03-Nov-2018,"Chayei Sarah"
,
10-Nov-2018,Toldot
,
17-Nov-2018,Vayeitzei
,
24-Nov-2018,Vayishlach
,
01-Dec-2018,Vayeishev
,
08-Dec-2018,Mikeitz
,
15-Dec-2018,Vayigash
,
22-Dec-2018,Vayechi
,
29-Dec-2018,Shemot
,
05-Jan-2019,Va'eira
,
12-Jan-2019,Bo
,
19-Jan-2019,Beshalach
,
26-Jan-2019,Yitro
,
02-Feb-2019,Mishpatim
,
09-Feb-2019,Terumah
,
16-Feb-2019,Tetzaveh
,
23-Feb-2019,"Ki Tisa"
,
02-Mar-2019,Vayakhel
,
09-Mar-2019,Pekudei
,
16-Mar-2019,Vayikra
,
23-Mar-2019,Tzav
,
30-Mar-2019,Shemini
,
06-Apr-2019,Tazria
,
13-Apr-2019,Metzora
,
04-May-2019,Acharei
,
11-May-2019,Kedoshim
,
18-May-2019,Emor
,
25-May-2019,Behar
,
01-Jun-2019,Bechukotai
,
08-Jun-2019,Bamidbar
,
15-Jun-2019,Naso
,
22-Jun-2019,Beha'alotecha
,
29-Jun-2019,Shelach
,
06-Jul-2019,Korach
,
13-Jul-2019,Chukat
,
20-Jul-2019,Balak
,
27-Jul-2019,Pinchas
,
03-Aug-2019,Matot-Massei
,
10-Aug-2019,Devarim
,
17-Aug-2019,Va'etchanan
,
24-Aug-2019,Eikev
,
31-Aug-2019,Re'eh
,
07-Sep-2019,Shoftim
,
14-Sep-2019,"Ki Teitzei"
,
21-Sep-2019,"Ki Tavo"
,
28-Sep-2019,Nitzavim
,
05-Oct-2019,Vayelech
,
12-Oct-2019,Ha'azinu
,
26-Oct-2019,Bereishit
,
02-Nov-2019,Noach
,
09-Nov-2019,"Lech Lecha"
,
16-Nov-2019,Vayeira
,
23-Nov-2019,"Chayei Sarah"
,
30-Nov-2019,Toldot
,
07-Dec-2019,Vayeitzei
,
14-Dec-2019,Vayishlach
,
21-Dec-2019,Vayeishev
,
28-Dec-2019,Mikeitz
,
04-Jan-2020,Vayigash
,
11-Jan-2020,Vayechi
,
18-Jan-2020,Shemot
,
25-Jan-2020,Va'eira
,
01-Feb-2020,Bo
,
08-Feb-2020,Beshalach
,
15-Feb-2020,Yitro
,
22-Feb-2020,Mishpatim
,
29-Feb-2020,Terumah
,
07-Mar-2020,Tetzaveh
,
14-Mar-2020,"Ki Tisa"
,
21-Mar-2020,Vayakhel-Pekudei
,
28-Mar-2020,Vayikra
,
04-Apr-2020,Tzav
,
18-Apr-2020,Shemini
,
25-Apr-2020,Tazria-Metzora
,
02-May-2020,Acharei-Kedoshim
,
09-May-2020,Emor
,
16-May-2020,Behar-Bechukotai
,
23-May-2020,Bamidbar
,
06-Jun-2020,Naso
,
13-Jun-2020,Beha'alotecha
,
20-Jun-2020,Shelach
,
27-Jun-2020,Korach
,
04-Jul-2020,Chukat-Balak
,
11-Jul-2020,Pinchas
,
18-Jul-2020,Matot-Massei
,
25-Jul-2020,Devarim
,
01-Aug-2020,Va'etchanan
,
08-Aug-2020,Eikev
,
15-Aug-2020,Re'eh
,
22-Aug-2020,Shoftim
,
29-Aug-2020,"Ki Teitzei"
,
05-Sep-2020,"Ki Tavo"
,
12-Sep-2020,Nitzavim-Vayelech
,
26-Sep-2020,Ha'azinu
,
17-Oct-2020,Bereishit
,
24-Oct-2020,Noach
,
31-Oct-2020,"Lech Lecha"
,
07-Nov-2020,Vayeira
,
14-Nov-2020,"Chayei Sarah"
,
21-Nov-2020,Toldot
,
28-Nov-2020,Vayeitzei
,
05-Dec-2020,Vayishlach
,
12-Dec-2020,Vayeishev
,
19-Dec-2020,Mikeitz
,
26-Dec-2020,Vayigash
,
02-Jan-2021,Vayechi
,
09-Jan-2021,Shemot
,
16-Jan-2021,Va'eira
,
23-Jan-2021,Bo
,
30-Jan-2021,Beshalach
,
06-Feb-2021,Yitro
,
13-Feb-2021,Mishpatim
,
20-Feb-2021,Terumah
,
27-Feb-2021,Tetzaveh
,
06-Mar-2021,"Ki Tisa"
,
13-Mar-2021,Vayakhel-Pekudei
,
20-Mar-2021,Vayikra
,
27-Mar-2021,Tzav
,
10-Apr-2021,Shemini
,
17-Apr-2021,Tazria-Metzora
,
24-Apr-2021,Acharei-Kedoshim
,
01-May-2021,Emor
,
08-May-2021,Behar-Bechukotai
,
15-May-2021,Bamidbar
,
22-May-2021,Naso
,
29-May-2021,Beha'alotecha
,
05-Jun-2021,Shelach
,
12-Jun-2021,Korach
,
19-Jun-2021,Chukat
,
26-Jun-2021,Balak
,
03-Jul-2021,Pinchas
,
10-Jul-2021,Matot-Massei
,
17-Jul-2021,Devarim
,
24-Jul-2021,Va'etchanan
,
31-Jul-2021,Eikev
,
07-Aug-2021,Re'eh
,
14-Aug-2021,Shoftim
,
21-Aug-2021,"Ki Teitzei"
,
28-Aug-2021,"Ki Tavo"
,
04-Sep-2021,Nitzavim
,
